No,year,month,day,hour,pm25,TEMP,PRES,cbwd
137,2010,1,6,16,52,-8,1033,NW
138,2010,1,6,17,56,-9,1033,NW
139,2010,1,6,18,96,-9,1033,NW
140,2010,1,6,19,75,-14,1034,cv
141,2010,1,6,20,105,-12,1035,NW
142,2010,1,6,21,132,-14,1034,NW
143,2010,1,6,22,93,-16,1035,NW
144,2010,1,6,23,131,-16,1035,NW
145,2010,1,7,0,127,-16,1035,NW
146,2010,1,7,1,130,-16,1035,cv
147,2010,1,7,2,43,-18,1036,cv
148,2010,1,7,3,37,-15,1036,NW
149,2010,1,7,4,30,-16,1035,NW
150,2010,1,7,5,28,-15,1035,NW
151,2010,1,7,6,24,-15,1035,NW
152,2010,1,7,7,23,-13,1036,NE
153,2010,1,7,8,24,-14,1036,NW
154,2010,1,7,9,27,-12,1036,NW
155,2010,1,7,10,40,-11,1036,NW
156,2010,1,7,11,42,-10,1036,NW
157,2010,1,7,12,42,-9,1035,NW
158,2010,1,7,13,55,-8,1034,NW
159,2010,1,7,14,52,-7,1033,NW
160,2010,1,7,15,51,-7,1032,NW
161,2010,1,7,16,57,-8,1032,NW
162,2010,1,7,17,50,-9,1032,NW
163,2010,1,7,18,54,-11,1032,NE
164,2010,1,7,19,67,-11,1033,NW
165,2010,1,7,20,106,-15,1032,NE
166,2010,1,7,21,159,-14,1032,cv
167,2010,1,7,22,198,-14,1032,cv
168,2010,1,7,23,190,-16,1032,cv
169,2010,1,8,0,210,-17,1031,NW
170,2010,1,8,1,195,-16,1031,NW
171,2010,1,8,2,275,-16,1031,NE
172,2010,1,8,3,164,-15,1030,SE
173,2010,1,8,4,110,-15,1030,cv
174,2010,1,8,5,100,-15,1029,cv
175,2010,1,8,6,81,-15,1029,NW
176,2010,1,8,7,71,-13,1029,NE
177,2010,1,8,8,66,-12,1029,SE
178,2010,1,8,9,92,-12,1030,SE
179,2010,1,8,10,135,-10,1030,NE
180,2010,1,8,11,155,-10,1029,cv
181,2010,1,8,12,198,-9,1028,SE
182,2010,1,8,13,250,-8,1026,SE
183,2010,1,8,14,200,-8,1026,cv
184,2010,1,8,15,231,-8,1025,cv
185,2010,1,8,16,250,-8,1025,cv
186,2010,1,8,17,212,-8,1025,SE
187,2010,1,8,18,219,-9,1026,cv
188,2010,1,8,19,227,-11,1026,cv
189,2010,1,8,20,226,-12,1026,cv
190,2010,1,8,21,225,-14,1027,NW
191,2010,1,8,22,168,-9,1027,NW
192,2010,1,8,23,169,-11,1027,NW
193,2010,1,9,0,165,-13,1027,cv
194,2010,1,9,1,159,-13,1027,NW
195,2010,1,9,2,167,-14,1027,NW
196,2010,1,9,3,196,-15,1027,NW
197,2010,1,9,4,169,-13,1027,NW
198,2010,1,9,5,155,-16,1027,NW
199,2010,1,9,6,119,-15,1027,NW
200,2010,1,9,7,106,-15,1027,NW
201,2010,1,9,8,93,-14,1028,NW
202,2010,1,9,9,84,-9,1029,NE
203,2010,1,9,10,73,-7,1029,NE
204,2010,1,9,11,66,-6,1030,NE
205,2010,1,9,12,40,-6,1029,NE
206,2010,1,9,13,49,-5,1029,NE
207,2010,1,9,14,50,-4,1029,NE
208,2010,1,9,15,49,-4,1028,NE
209,2010,1,9,16,41,-4,1029,NE
210,2010,1,9,17,37,-4,1030,NW
211,2010,1,9,18,45,-7,1030,NE
212,2010,1,9,19,44,-6,1031,NW
213,2010,1,9,20,54,-7,1032,NW
214,2010,1,9,21,50,-6,1032,NE
215,2010,1,9,22,47,-8,1033,cv
216,2010,1,9,23,66,-8,1033,cv
217,2010,1,10,0,75,-11,1033,NW
218,2010,1,10,1,82,-13,1033,NW
219,2010,1,10,2,66,-12,1033,NW
220,2010,1,10,3,83,-13,1033,NW
221,2010,1,10,4,62,-14,1032,NW
222,2010,1,10,5,40,-13,1032,NW
223,2010,1,10,6,23,-13,1032,NW
224,2010,1,10,7,25,-14,1033,NW
225,2010,1,10,8,27,-14,1034,NW
226,2010,1,10,9,35,-12,1033,NW
227,2010,1,10,10,50,-7,1033,NE
228,2010,1,10,11,70,-7,1033,NW
229,2010,1,10,12,75,-7,1032,NW
230,2010,1,10,13,58,-6,1031,NW
231,2010,1,10,14,70,-6,1031,NW
232,2010,1,10,15,68,-5,1030,NW
233,2010,1,10,16,71,-5,1031,NW
234,2010,1,10,17,88,-6,1031,NW
235,2010,1,10,18,84,-7,1032,NW
236,2010,1,10,19,83,-6,1032,NW
237,2010,1,10,20,66,-6,1033,NW
238,2010,1,10,21,27,-4,1034,NW
239,2010,1,10,22,24,-4,1034,NW
240,2010,1,10,23,22,-5,1035,NW
241,2010,1,11,0,23,-6,1035,NW
242,2010,1,11,1,27,-8,1035,cv
243,2010,1,11,2,23,-11,1036,NW
244,2010,1,11,3,17,-11,1036,NW
245,2010,1,11,4,17,-11,1035,NE
246,2010,1,11,5,16,-12,1035,NW
247,2010,1,11,6,16,-12,1035,NE
248,2010,1,11,7,20,-13,1036,NW
249,2010,1,11,8,20,-9,1036,NW
250,2010,1,11,9,18,-10,1036,NW
251,2010,1,11,10,25,-9,1036,NW
252,2010,1,11,11,26,-9,1036,NW
253,2010,1,11,12,27,-6,1035,NW
254,2010,1,11,13,28,-5,1034,NW
255,2010,1,11,14,15,-5,1033,NW
256,2010,1,11,15,24,-5,1033,NW
257,2010,1,11,16,13,-5,1032,NW
258,2010,1,11,17,13,-5,1033,NW
259,2010,1,11,18,13,-7,1033,NW
260,2010,1,11,19,17,-7,1033,NW
261,2010,1,11,20,20,-8,1033,NW
262,2010,1,11,21,27,-10,1033,NW
263,2010,1,11,22,20,-13,1033,NW
264,2010,1,11,23,15,-12,1032,cv
265,2010,1,12,0,21,-15,1031,cv
266,2010,1,12,1,21,-14,1031,NE
267,2010,1,12,2,37,-14,1031,NW
268,2010,1,12,3,26,-18,1030,NE
269,2010,1,12,4,15,-13,1030,NE
270,2010,1,12,5,9,-14,1030,NW
271,2010,1,12,6,11,-14,1030,NW
272,2010,1,12,7,11,-12,1030,NW
273,2010,1,12,8,16,-14,1030,NW
274,2010,1,12,9,13,-12,1031,NW
275,2010,1,12,10,15,-11,1031,NW
276,2010,1,12,11,21,-11,1030,NW
277,2010,1,12,12,24,-11,1029,NW
278,2010,1,12,13,22,-11,1029,NW
279,2010,1,12,14,22,-11,1029,NW
280,2010,1,12,15,22,-11,1029,NW
281,2010,1,12,16,19,-11,1030,NW
282,2010,1,12,17,23,-11,1030,NW
283,2010,1,12,18,25,-11,1032,NW
284,2010,1,12,19,25,-11,1032,NW
285,2010,1,12,20,31,-12,1032,NW
286,2010,1,12,21,25,-12,1033,NW
287,2010,1,12,22,22,-12,1033,NW
288,2010,1,12,23,22,-12,1034,NW
289,2010,1,13,0,15,-12,1034,NW
290,2010,1,13,1,16,-12,1033,NW
291,2010,1,13,2,11,-12,1033,NW
292,2010,1,13,3,11,-13,1033,NW
293,2010,1,13,4,12,-12,1032,NW
294,2010,1,13,5,11,-12,1033,NW
295,2010,1,13,6,12,-12,1032,NW
296,2010,1,13,7,27,-12,1032,NW
297,2010,1,13,8,28,-12,1032,NW
298,2010,1,13,9,34,-11,1033,NW
299,2010,1,13,10,33,-10,1033,NW
300,2010,1,13,11,36,-9,1033,NW
301,2010,1,13,12,26,-8,1031,NW
302,2010,1,13,13,49,-6,1030,NW
303,2010,1,13,14,52,-5,1029,NW
304,2010,1,13,15,47,-5,1028,NW
305,2010,1,13,16,47,-5,1028,NW
306,2010,1,13,17,39,-7,1028,SE
307,2010,1,13,18,59,-8,1028,cv
308,2010,1,13,19,76,-9,1028,cv
309,2010,1,13,20,96,-10,1027,SE
310,2010,1,13,21,95,-13,1027,cv
311,2010,1,13,22,68,-12,1027,cv
312,2010,1,13,23,65,-13,1027,NE
313,2010,1,14,0,75,-14,1026,NE
314,2010,1,14,1,257,-15,1025,NE
315,2010,1,14,2,174,-15,1025,NW
316,2010,1,14,3,164,-16,1025,NW
317,2010,1,14,4,161,-16,1024,NW
318,2010,1,14,5,137,-17,1024,NW
319,2010,1,14,6,92,-14,1023,NW
320,2010,1,14,7,64,-17,1023,NW
321,2010,1,14,8,87,-15,1024,NW
322,2010,1,14,9,87,-14,1024,NW
323,2010,1,14,10,84,-10,1024,NW
324,2010,1,14,11,95,-9,1023,NW
325,2010,1,14,12,79,-6,1023,NW
326,2010,1,14,13,75,-5,1022,NW
327,2010,1,14,14,79,-5,1022,NW
328,2010,1,14,15,86,-4,1022,NW
329,2010,1,14,16,72,-4,1023,cv
330,2010,1,14,17,89,-5,1025,SE
331,2010,1,14,18,94,-3,1026,NW
332,2010,1,14,19,69,-3,1027,NW
333,2010,1,14,20,49,-4,1029,NW
334,2010,1,14,21,33,-5,1031,NW
335,2010,1,14,22,27,-6,1032,NE
336,2010,1,14,23,20,-6,1033,NE
337,2010,1,15,0,36,-7,1034,NE
338,2010,1,15,1,37,-8,1035,NW
339,2010,1,15,2,30,-10,1035,NW
340,2010,1,15,3,18,-10,1036,NW
341,2010,1,15,4,21,-9,1036,NW
342,2010,1,15,5,13,-9,1036,NE
343,2010,1,15,6,23,-9,1037,NE
344,2010,1,15,7,26,-9,1037,NE
345,2010,1,15,8,27,-8,1038,NE
346,2010,1,15,9,30,-8,1039,NE
347,2010,1,15,10,28,-7,1039,NE
348,2010,1,15,11,26,-6,1039,NE
349,2010,1,15,12,26,-5,1039,NE
350,2010,1,15,13,31,-4,1038,NW
351,2010,1,15,14,35,-3,1037,cv
352,2010,1,15,15,36,-3,1037,cv
353,2010,1,15,16,37,-2,1037,cv
354,2010,1,15,17,64,-5,1036,SE
355,2010,1,15,18,83,-6,1036,cv
356,2010,1,15,19,91,-6,1037,cv
357,2010,1,15,20,90,-6,1037,SE
358,2010,1,15,21,102,-8,1036,SE
359,2010,1,15,22,94,-10,1037,cv
360,2010,1,15,23,87,-11,1036,cv
361,2010,1,16,0,141,-11,1036,cv
362,2010,1,16,1,211,-13,1036,NE
363,2010,1,16,2,242,-12,1036,cv
364,2010,1,16,3,271,-13,1035,NE
365,2010,1,16,4,249,-12,1035,NE
366,2010,1,16,5,200,-10,1034,NW
367,2010,1,16,6,147,-10,1034,NW
368,2010,1,16,7,114,-11,1034,NW
369,2010,1,16,8,102,-11,1034,NW
370,2010,1,16,9,108,-9,1034,NW
371,2010,1,16,10,135,-9,1034,NW
372,2010,1,16,11,120,-6,1034,cv
373,2010,1,16,12,148,-5,1033,NW
374,2010,1,16,13,127,-4,1031,cv
375,2010,1,16,14,128,-3,1031,cv
376,2010,1,16,15,140,-3,1030,cv
377,2010,1,16,16,148,-3,1030,cv
378,2010,1,16,17,150,-4,1031,NE
379,2010,1,16,18,154,-7,1031,cv
380,2010,1,16,19,197,-7,1032,cv
381,2010,1,16,20,235,-8,1032,cv
382,2010,1,16,21,261,-9,1032,cv
383,2010,1,16,22,269,-11,1032,NW
384,2010,1,16,23,266,-11,1032,NW
385,2010,1,17,0,263,-12,1032,NW
386,2010,1,17,1,241,-11,1032,cv
387,2010,1,17,2,205,-11,1031,cv
388,2010,1,17,3,160,-12,1031,NW
389,2010,1,17,4,150,-12,1031,NW
390,2010,1,17,5,148,-10,1030,NW
391,2010,1,17,6,208,-11,1030,NW
392,2010,1,17,7,209,-10,1030,NW
393,2010,1,17,8,183,-10,1030,NW
394,2010,1,17,9,161,-8,1030,NW
395,2010,1,17,10,182,-6,1030,cv
396,2010,1,17,11,230,-5,1030,cv
397,2010,1,17,12,170,-4,1029,cv
398,2010,1,17,13,172,-3,1028,cv
399,2010,1,17,14,154,-1,1027,cv
400,2010,1,17,15,166,-1,1027,cv
401,2010,1,17,16,177,-1,1026,SE
402,2010,1,17,17,191,-3,1026,SE
403,2010,1,17,18,212,-5,1027,SE
404,2010,1,17,19,250,-6,1027,NE
405,2010,1,17,20,268,-7,1027,cv
406,2010,1,17,21,317,-7,1027,cv
407,2010,1,17,22,291,-9,1027,cv
408,2010,1,17,23,313,-9,1027,NE
409,2010,1,18,0,282,-10,1028,cv
410,2010,1,18,1,282,-11,1028,NW
411,2010,1,18,2,303,-9,1028,NW
412,2010,1,18,3,349,-10,1028,NW
413,2010,1,18,4,407,-11,1028,NW
414,2010,1,18,5,361,-11,1027,NE
415,2010,1,18,6,234,-11,1028,NW
416,2010,1,18,7,149,-11,1028,NW
417,2010,1,18,8,147,-11,1028,NW
418,2010,1,18,9,184,-6,1028,NW
419,2010,1,18,10,161,-5,1028,NW
420,2010,1,18,11,137,-3,1028,NW
421,2010,1,18,12,146,-1,1027,NW
422,2010,1,18,13,144,0,1026,NW
423,2010,1,18,14,154,1,1025,NE
424,2010,1,18,15,173,1,1025,cv
425,2010,1,18,16,188,1,1025,SE
426,2010,1,18,17,203,-1,1025,SE
427,2010,1,18,18,233,-2,1025,cv
428,2010,1,18,19,408,-3,1025,SE
429,2010,1,18,20,435,-2,1026,cv
430,2010,1,18,21,403,-1,1026,NW
431,2010,1,18,22,360,-1,1026,NW
432,2010,1,18,23,402,-1,1026,cv
433,2010,1,19,0,358,-1,1025,NW
434,2010,1,19,1,383,-1,1024,NW
435,2010,1,19,2,332,-1,1024,NW
436,2010,1,19,3,274,-1,1023,NW
437,2010,1,19,4,256,-1,1022,NW
438,2010,1,19,5,302,-1,1021,NW
439,2010,1,19,6,330,-1,1021,NW
440,2010,1,19,7,367,-1,1021,NW
441,2010,1,19,8,297,0,1021,cv
442,2010,1,19,9,331,0,1021,NW
443,2010,1,19,10,323,0,1021,cv
444,2010,1,19,11,339,1,1021,NW
445,2010,1,19,12,301,1,1020,cv
446,2010,1,19,13,310,1,1019,cv
447,2010,1,19,14,305,1,1018,NE
448,2010,1,19,15,313,2,1018,cv
449,2010,1,19,16,336,2,1018,cv
450,2010,1,19,17,357,2,1018,NE
451,2010,1,19,18,485,1,1018,cv
452,2010,1,19,19,426,2,1020,NW
453,2010,1,19,20,403,1,1020,NW
454,2010,1,19,21,374,0,1021,NW
455,2010,1,19,22,333,0,1021,NW
456,2010,1,19,23,343,1,1020,NW
457,2010,1,20,0,364,0,1021,NW
458,2010,1,20,1,389,-1,1022,NW
459,2010,1,20,2,368,-2,1022,NW
460,2010,1,20,3,267,-1,1023,NW
461,2010,1,20,4,71,1,1023,NW
462,2010,1,20,5,81,0,1024,NW
463,2010,1,20,6,51,2,1026,NW
464,2010,1,20,7,49,1,1027,NW
465,2010,1,20,8,44,0,1028,NW
466,2010,1,20,9,45,0,1030,NW
467,2010,1,20,10,35,1,1032,NW
468,2010,1,20,11,29,0,1033,NW
469,2010,1,20,12,27,0,1033,NW
470,2010,1,20,13,29,-1,1033,NE
471,2010,1,20,14,16,-1,1032,NW
472,2010,1,20,15,23,-1,1032,NE
473,2010,1,20,16,28,-1,1033,NW
474,2010,1,20,17,22,-2,1033,NW
475,2010,1,20,18,11,-3,1034,NW
476,2010,1,20,19,25,-4,1035,NW
477,2010,1,20,20,16,-3,1036,NW
478,2010,1,20,21,20,-4,1037,NW
479,2010,1,20,22,20,-4,1038,NW
480,2010,1,20,23,18,-5,1038,NW
481,2010,1,21,0,18,-6,1038,NW
482,2010,1,21,1,17,-6,1038,NW
483,2010,1,21,2,17,-7,1038,NW
484,2010,1,21,3,17,-8,1038,NW
485,2010,1,21,4,15,-8,1038,NW
486,2010,1,21,5,19,-9,1038,NW
487,2010,1,21,6,16,-9,1038,NW
488,2010,1,21,7,18,-9,1038,NW
489,2010,1,21,8,18,-8,1039,NW
490,2010,1,21,9,18,-8,1039,NW
491,2010,1,21,10,26,-7,1039,NW
492,2010,1,21,11,26,-7,1038,NE
493,2010,1,21,12,25,-5,1037,NW
494,2010,1,21,13,24,-5,1035,NE
495,2010,1,21,14,15,-4,1034,SE
496,2010,1,21,15,17,-3,1034,NE
497,2010,1,21,16,15,-2,1033,NW
498,2010,1,21,17,21,-2,1033,NW
499,2010,1,21,18,40,-2,1034,NW
500,2010,1,21,19,51,-3,1034,NW
501,2010,1,21,20,45,-3,1035,NW
502,2010,1,21,21,61,-8,1035,NE
503,2010,1,21,22,72,-9,1035,NW
504,2010,1,21,23,38,-9,1035,NW
505,2010,1,22,0,35,-6,1036,NW
506,2010,1,22,1,29,-4,1037,NW
507,2010,1,22,2,26,-5,1037,NW
508,2010,1,22,3,18,-6,1037,NW
509,2010,1,22,4,15,-7,1036,NW
510,2010,1,22,5,15,-7,1035,NW
511,2010,1,22,6,22,-7,1035,NW
512,2010,1,22,7,21,-7,1036,NW
513,2010,1,22,8,19,-7,1036,NW
514,2010,1,22,9,22,-5,1036,NW
515,2010,1,22,10,25,-4,1036,NW
516,2010,1,22,11,22,-4,1036,NW
517,2010,1,22,12,26,-3,1035,NW
518,2010,1,22,13,32,-3,1034,NW
519,2010,1,22,14,30,-2,1033,NW
520,2010,1,22,15,32,-2,1032,NW
521,2010,1,22,16,30,-2,1032,NW
522,2010,1,22,17,32,-2,1032,NW
523,2010,1,22,18,37,-3,1032,NW
524,2010,1,22,19,49,-5,1033,NW
525,2010,1,22,20,47,-4,1033,NW
526,2010,1,22,21,39,-4,1032,NW
527,2010,1,22,22,35,-4,1032,NW
528,2010,1,22,23,48,-7,1032,NW
529,2010,1,23,0,49,-4,1033,NW
530,2010,1,23,1,24,-8,1033,cv
531,2010,1,23,2,23,-5,1032,NW
532,2010,1,23,3,20,-6,1032,NW
533,2010,1,23,4,19,-5,1031,NW
534,2010,1,23,5,16,-6,1031,NW
535,2010,1,23,6,22,-7,1031,NW
536,2010,1,23,7,24,-7,1031,NW
537,2010,1,23,8,24,-6,1031,NW
538,2010,1,23,9,41,-2,1031,NW
539,2010,1,23,10,23,-1,1031,NW
540,2010,1,23,11,19,0,1030,NW
541,2010,1,23,12,15,1,1029,NW
542,2010,1,23,13,19,2,1027,NW
543,2010,1,23,14,17,2,1025,NW
544,2010,1,23,15,17,3,1024,NW
545,2010,1,23,16,22,3,1024,NW
546,2010,1,23,17,98.61321455,2,1024,NW
547,2010,1,23,18,98.61321455,1,1024,NW
548,2010,1,23,19,98.61321455,0,1024,NW
549,2010,1,23,20,98.61321455,0,1024,SE
550,2010,1,23,21,98.61321455,-3,1024,cv
551,2010,1,23,22,98.61321455,0,1023,NW
552,2010,1,23,23,98.61321455,0,1023,NW
553,2010,1,24,0,98.61321455,-2,1022,NW
554,2010,1,24,1,98.61321455,-7,1022,cv
555,2010,1,24,2,98.61321455,-8,1021,NW
556,2010,1,24,3,98.61321455,-11,1021,NW
557,2010,1,24,4,98.61321455,-9,1019,NW
558,2010,1,24,5,98.61321455,-10,1019,cv
559,2010,1,24,6,98.61321455,-12,1019,SE
560,2010,1,24,7,98.61321455,-12,1019,cv
561,2010,1,24,8,98.61321455,-13,1019,NE
562,2010,1,24,9,98.61321455,-7,1020,cv
563,2010,1,24,10,98.61321455,-4,1019,cv
564,2010,1,24,11,98.61321455,0,1019,cv
565,2010,1,24,12,98.61321455,4,1018,NW
566,2010,1,24,13,98.61321455,5,1017,NW
567,2010,1,24,14,98.61321455,5,1017,NW
568,2010,1,24,15,98.61321455,5,1017,NW
569,2010,1,24,16,98.61321455,5,1018,NW
570,2010,1,24,17,98.61321455,3,1020,NW
571,2010,1,24,18,98.61321455,1,1023,NW
572,2010,1,24,19,98.61321455,-1,1027,NW
573,2010,1,24,20,98.61321455,-2,1028,NW
574,2010,1,24,21,98.61321455,-3,1029,NW
575,2010,1,24,22,98.61321455,-4,1030,NW
576,2010,1,24,23,98.61321455,-5,1031,NW
577,2010,1,25,0,98.61321455,-5,1031,NW
578,2010,1,25,1,98.61321455,-6,1031,NW
579,2010,1,25,2,98.61321455,-6,1032,NW
580,2010,1,25,3,98.61321455,-6,1033,NW
581,2010,1,25,4,98.61321455,-6,1033,NW
582,2010,1,25,5,98.61321455,-7,1033,NW
583,2010,1,25,6,98.61321455,-7,1033,NW
584,2010,1,25,7,98.61321455,-7,1034,NW
585,2010,1,25,8,98.61321455,-6,1035,NW
586,2010,1,25,9,98.61321455,-4,1036,NW
587,2010,1,25,10,98.61321455,-3,1036,NW
588,2010,1,25,11,98.61321455,-2,1036,NW
589,2010,1,25,12,98.61321455,-1,1035,NW
590,2010,1,25,13,98.61321455,1,1033,NW
591,2010,1,25,14,98.61321455,2,1032,NW
592,2010,1,25,15,98.61321455,2,1031,NW
593,2010,1,25,16,98.61321455,2,1031,NW
594,2010,1,25,17,98.61321455,1,1031,SE
595,2010,1,25,18,98.61321455,-1,1031,SE
596,2010,1,25,19,98.61321455,-1,1031,SE
597,2010,1,25,20,98.61321455,-4,1031,SE
598,2010,1,25,21,98.61321455,-1,1031,SE
599,2010,1,25,22,98.61321455,-5,1030,cv
600,2010,1,25,23,98.61321455,-3,1030,SE
601,2010,1,26,0,98.61321455,-9,1030,cv
602,2010,1,26,1,98.61321455,-8,1029,cv
603,2010,1,26,2,98.61321455,-11,1029,cv
604,2010,1,26,3,98.61321455,-12,1029,cv
605,2010,1,26,4,98.61321455,-10,1028,NW
606,2010,1,26,5,98.61321455,-10,1028,NW
607,2010,1,26,6,98.61321455,-12,1027,NW
608,2010,1,26,7,98.61321455,-10,1027,NW
609,2010,1,26,8,98.61321455,-13,1028,NE
610,2010,1,26,9,98.61321455,-8,1028,NW
611,2010,1,26,10,98.61321455,-6,1027,NW
612,2010,1,26,11,98.61321455,-3,1027,cv
613,2010,1,26,12,88,-1,1025,SE
614,2010,1,26,13,85,0,1024,SE
615,2010,1,26,14,90,1,1023,cv
616,2010,1,26,15,127,2,1021,SE
617,2010,1,26,16,144,1,1021,SE
618,2010,1,26,17,203,-1,1021,SE
619,2010,1,26,18,199,-3,1021,SE
